sample_id,label,base_prob,new_prob,delta,base_pred,new_pred,base_wrong,new_wrong
benign (108),benign,0.270095,0.739089,0.468994,0,1,0,1
benign (94),benign,0.103073,0.570117,0.467044,0,1,0,1
benign (207),benign,0.089095,0.537299,0.448205,0,1,0,1
benign (392),benign,0.15148,0.555903,0.404423,0,1,0,1
benign (283),benign,0.226703,0.611313,0.38461,0,1,0,1
malignant (106),malignant,0.879267,0.498219,-0.381048,1,0,0,1
benign (395),benign,0.160415,0.526757,0.366342,0,1,0,1
malignant (133),malignant,0.65907,0.323251,-0.335819,1,0,0,1
malignant (1),malignant,0.65527,0.381555,-0.273715,1,0,0,1
benign (116),benign,0.372623,0.572997,0.200375,0,1,0,1
malignant (141),malignant,0.592371,0.494679,-0.097691,1,0,0,1
benign (254),benign,0.508478,0.997532,0.489054,1,1,1,1
benign (211),benign,0.535427,0.997885,0.462458,1,1,1,1
benign (415),benign,0.544577,0.998992,0.454414,1,1,1,1
benign (327),benign,0.54756,0.988832,0.441273,1,1,1,1
benign (400),benign,0.558429,0.998266,0.439837,1,1,1,1
malignant (107),malignant,0.427976,0.000507,-0.427468,0,0,1,1
benign (394),benign,0.597428,0.997326,0.399898,1,1,1,1
benign (141),benign,0.621709,0.999587,0.377878,1,1,1,1
malignant (154),malignant,0.383667,0.013761,-0.369906,0,0,1,1
malignant (120),malignant,0.378051,0.031,-0.347051,0,0,1,1
benign (165),benign,0.682263,0.999596,0.317333,1,1,1,1
benign (85),benign,0.820267,0.517907,-0.30236,1,1,1,1
benign (101),benign,0.966913,0.705898,-0.261014,1,1,1,1
benign (293),benign,0.65411,0.915099,0.260989,1,1,1,1
benign (424),benign,0.724264,0.975652,0.251387,1,1,1,1
malignant (194),malignant,0.261122,0.496685,0.235563,0,0,1,1
benign (140),benign,0.998587,0.772931,-0.225656,1,1,1,1
benign (164),benign,0.774275,0.55006,-0.224215,1,1,1,1
benign (114),benign,0.756735,0.971209,0.214474,1,1,1,1
benign (404),benign,0.793872,0.995239,0.201368,1,1,1,1
malignant (73),malignant,0.001095,0.197011,0.195916,0,0,1,1
malignant (131),malignant,0.000517,0.192537,0.19202,0,0,1,1
malignant (48),malignant,0.016573,0.195024,0.178451,0,0,1,1
benign (406),benign,0.83167,0.990975,0.159306,1,1,1,1
malignant (21),malignant,0.001093,0.156105,0.155013,0,0,1,1
benign (308),benign,0.675907,0.830496,0.154589,1,1,1,1
benign (221),benign,0.998988,0.870205,-0.128783,1,1,1,1
malignant (77),malignant,0.129577,0.000795,-0.128783,0,0,1,1
malignant (167),malignant,0.12903,0.000264,-0.128767,0,0,1,1
benign (190),benign,0.917516,0.998447,0.080931,1,1,1,1
benign (88),benign,0.857669,0.931722,0.074053,1,1,1,1
malignant (13),malignant,0.320082,0.385274,0.065192,0,0,1,1
malignant (85),malignant,0.099075,0.03607,-0.063005,0,0,1,1
benign (224),benign,0.632327,0.693646,0.061319,1,1,1,1
malignant (78),malignant,0.058346,0.000335,-0.058011,0,0,1,1
benign (269),benign,0.943692,0.998521,0.054829,1,1,1,1
benign (426),benign,0.964147,0.999406,0.035259,1,1,1,1
malignant (80),malignant,0.003989,0.035269,0.03128,0,0,1,1
benign (119),benign,0.999628,0.970201,-0.029427,1,1,1,1
benign (47),benign,0.969366,0.996822,0.027456,1,1,1,1
benign (421),benign,0.525427,0.502622,-0.022806,1,1,1,1
malignant (136),malignant,0.040389,0.06111,0.020721,0,0,1,1
benign (122),benign,0.983535,0.998407,0.014872,1,1,1,1
benign (316),benign,0.988748,0.999405,0.010657,1,1,1,1
malignant (15),malignant,0.080947,0.088816,0.00787,0,0,1,1
benign (292),benign,0.528216,0.534959,0.006743,1,1,1,1
benign (225),benign,0.872994,0.867593,-0.005401,1,1,1,1
malignant (61),malignant,0.000415,0.00559,0.005175,0,0,1,1
benign (402),benign,0.995819,0.999503,0.003684,1,1,1,1
malignant (105),malignant,0.004104,0.007191,0.003088,0,0,1,1
benign (407),benign,0.997778,0.999553,0.001775,1,1,1,1
malignant (74),malignant,0.004811,0.003392,-0.001419,0,0,1,1
benign (410),benign,0.998725,0.999697,0.000972,1,1,1,1
benign (131),benign,0.999803,0.998928,-0.000876,1,1,1,1
benign (408),benign,0.9994,0.998609,-0.000791,1,1,1,1
malignant (27),malignant,3.4e-05,0.000641,0.000607,0,0,1,1
malignant (126),malignant,0.000124,0.000691,0.000567,0,0,1,1
benign (42),benign,0.999888,0.999523,-0.000365,1,1,1,1
malignant (12),malignant,2.1e-05,0.000255,0.000234,0,0,1,1
malignant (100),malignant,3e-06,0.000207,0.000204,0,0,1,1
benign (401),benign,0.999896,0.999702,-0.000193,1,1,1,1
malignant (110),malignant,2.2e-05,0.000213,0.000191,0,0,1,1
malignant (28),malignant,5.3e-05,0.000239,0.000187,0,0,1,1
malignant (112),malignant,4e-06,0.000188,0.000184,0,0,1,1
malignant (10),malignant,3e-06,0.000186,0.000182,0,0,1,1
benign (62),benign,0.999478,0.999302,-0.000176,1,1,1,1
malignant (26),malignant,2.2e-05,0.000188,0.000166,0,0,1,1
malignant (148),malignant,0.00012,0.000284,0.000164,0,0,1,1
malignant (121),malignant,1.7e-05,0.00018,0.000163,0,0,1,1
benign (397),benign,0.999776,0.999669,-0.000106,1,1,1,1
benign (396),benign,0.999701,0.999604,-9.7e-05,1,1,1,1
malignant (200),malignant,0.000403,0.000306,-9.7e-05,0,0,1,1
benign (137),benign,0.999167,0.999255,8.8e-05,1,1,1,1
benign (409),benign,0.99972,0.999635,-8.6e-05,1,1,1,1
malignant (145),malignant,0.000586,0.000525,-6e-05,0,0,1,1
benign (413),benign,0.999636,0.999614,-2.2e-05,1,1,1,1
malignant (174),malignant,0.016206,0.999205,0.982999,0,1,1,0
malignant (108),malignant,0.049556,0.961717,0.912161,0,1,1,0
malignant (180),malignant,0.004503,0.913331,0.908828,0,1,1,0
benign (235),benign,0.969962,0.081232,-0.88873,1,0,1,0
malignant (143),malignant,0.122154,0.995874,0.87372,0,1,1,0
malignant (18),malignant,0.145016,0.999535,0.85452,0,1,1,0
malignant (181),malignant,0.198922,0.999551,0.800629,0,1,1,0
benign (331),benign,0.783275,0.000846,-0.78243,1,0,1,0
benign (206),benign,0.72713,0.003633,-0.723497,1,0,1,0
malignant (55),malignant,0.001801,0.723344,0.721543,0,1,1,0
benign (294),benign,0.733547,0.013923,-0.719624,1,0,1,0
benign (399),benign,0.824409,0.108663,-0.715746,1,0,1,0
benign (246),benign,0.999243,0.301483,-0.697759,1,0,1,0
benign (422),benign,0.607589,0.011016,-0.596572,1,0,1,0
malignant (53),malignant,0.3994,0.982158,0.582757,0,1,1,0
malignant (113),malignant,0.405886,0.976986,0.5711,0,1,1,0
malignant (46),malignant,0.427842,0.987255,0.559413,0,1,1,0
benign (120),benign,0.673571,0.134024,-0.539546,1,0,1,0
malignant (99),malignant,0.08831,0.623844,0.535534,0,1,1,0
malignant (98),malignant,0.482028,0.988296,0.506268,0,1,1,0
malignant (57),malignant,0.009934,0.515016,0.505082,0,1,1,0
benign (303),benign,0.508013,0.007778,-0.500235,1,0,1,0
benign (30),benign,0.512551,0.033082,-0.479469,1,0,1,0
benign (128),benign,0.504908,0.096923,-0.407985,1,0,1,0
benign (403),benign,0.536513,0.148261,-0.388252,1,0,1,0
malignant (81),malignant,0.309824,0.539659,0.229835,0,1,1,0
malignant (83),malignant,0.347276,0.513833,0.166557,0,1,1,0
benign (312),benign,0.605199,0.485322,-0.119877,1,0,1,0
