rank,group,sample_id,error_type,final_probability,mechanism,case_image,source_image,source_mask
11,fp_top,benign (334),FP,0.7867173929523315,full_image_already_malignant,artifacts\reports\error_cases\fp_top\11_benign_334.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (334).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (334)_mask.png
12,fp_top,benign (406),FP,0.7741962440551446,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fp_top\12_benign_406.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (406).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\benign\benign (406)_mask.png
1,fn_top,malignant (10),FN,0.08751925374205458,full_image_already_benign,artifacts\reports\error_cases\fn_top\01_malignant_10.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (10).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (10)_mask.png
2,fn_top,malignant (112),FN,0.09478017125542595,full_image_already_benign,artifacts\reports\error_cases\fn_top\02_malignant_112.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (112).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (112)_mask.png
3,fn_top,malignant (26),FN,0.1543513071670682,full_image_already_benign,artifacts\reports\error_cases\fn_top\03_malignant_26.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (26).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (26)_mask.png
4,fn_top,malignant (200),FN,0.15958096304831867,full_image_already_benign,artifacts\reports\error_cases\fn_top\04_malignant_200.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (200).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (200)_mask.png
5,fn_top,malignant (27),FN,0.1689180412784195,full_image_already_benign,artifacts\reports\error_cases\fn_top\05_malignant_27.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (27).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (27)_mask.png
6,fn_top,malignant (121),FN,0.20296537419139074,full_image_already_benign,artifacts\reports\error_cases\fn_top\06_malignant_121.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (121).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (121)_mask.png
7,fn_top,malignant (15),FN,0.25599999761581405,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fn_top\07_malignant_15.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (15).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (15)_mask.png
8,fn_top,malignant (73),FN,0.2799078495697248,full_image_already_benign,artifacts\reports\error_cases\fn_top\08_malignant_73.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (73).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (73)_mask.png
9,fn_top,malignant (148),FN,0.2854535099833436,full_image_already_benign,artifacts\reports\error_cases\fn_top\09_malignant_148.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (148).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (148)_mask.png
10,fn_top,malignant (28),FN,0.29500286658128727,full_image_already_benign,artifacts\reports\error_cases\fn_top\10_malignant_28.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (28).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (28)_mask.png
11,fn_top,malignant (52),FN,0.31559785101400917,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fn_top\11_malignant_52.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (52).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (52)_mask.png
12,fn_top,malignant (111),FN,0.3243304491043091,full_image_error_area_gate_fallback,artifacts\reports\error_cases\fn_top\12_malignant_111.png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (111).png,C:\Users\876762330\Desktop\Agent\测试集\Dataset_BUSI_with_GT\malignant\malignant (111)_mask.png
